"","ColdCorals_All_MPA","ColdCorals","CoralReefs_All_MPA","CoralReefs","KnollSeamounts_All_MPA","KnollSeamounts","mangroves_All_MPA","mangroves","Saltmarshes_All_MPA","Saltmarshes","Seagrasses_All_MPA","Seagrasses","ColdCorals_All_MPA_with_PS_mpashabitat","ColdCorals_PS_MPA","CoralReefs_All_MPA_with_PS_mpashabitat","CoralReefs_PS_MPA","KnollSeamounts_All_MPA_with_PS_mpashabitat","KnollSeamounts_PS_MPA","mangroves_All_MPA_with_PS_mpashabitat","mangroves_PS_MPA","Saltmarshes_All_MPA_with_PS_mpashabitat","Saltmarshes_PS_MPA","Seagrasses_All_MPA_with_PS_mpashabitat","Seagrasses_PS_MPA"
"30",0,4,0,0,20282.31640625,128373.1953125,752.950378417969,1252.31909179688,0,0,488,1484,0,0,0,0,4,4,0,0,0,0,0,0
"31",0,0,0,5,2185.86987304688,36601.10546875,0,0,0,0,0,3.98431611061096,0,0,0,0,0,0,0,0,0,0,0,0
"32",0,0,0,0,505.143096923828,6206.68701171875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"33",0,7,432.662506103516,3399.51904296875,24625.72265625,465845.25,16,77,0,424,336,21001.15625,0,0,0,0,5.62124538421631,6.62124538421631,0,0,0,0,0,0
"34",0,0,0,0,0,238.475936889648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"35",0,6,0,0,19751.712890625,62449.09765625,452,648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"36",0,0,0,9,0,5486.041015625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"37",215,461,3003,3331,455388.15625,948041.625,1,4,0,1,75,596,165,165,2823,2824,97562,97563,0,0,0,0,1,1
"38",0,0,1,124,20681.109375,257961.796875,99,99,3576,18330.025390625,287,2716,0,0,0,0,0,0,0,0,0,0,0,0
"39",4,4,0,0,55686.0703125,55717.37109375,0,0,0,0,0,0,4,4,0,0,55633.3515625,55655.453125,0,0,0,0,0,0
"40",0,0,0,0,5545.1103515625,60288.50390625,0,0,1,5,0,0,0,0,0,0,133,133,0,0,0,0,0,0
"41",0,1,0,0,7188.458984375,46840.96875,1112.20068359375,2669.14526367188,0,0,8153.318359375,15357.23046875,0,0,0,0,0,0,0,0,0,0,0,0
"42",0,3,15,187,573,26415.634765625,117,153,0,0,70,928,0,0,13,13,124,124,0,0,0,0,47,47
"43",0,37,0,0,6446.35546875,325253.59375,3.59496235847473,4.06534862518311,2615,12154.77734375,5,6,0,0,0,0,0,0,0,0,0,0,0,0
"44",0,2,60,3168,493.610595703125,1277473.625,0,85,0,0,0,1598,0,0,0,0,36.4343795776367,60.9120140075684,0,0,0,0,0,0
"45",63,70,3772,4507,353470.0625,365455.40625,169,335,0,1,1192,1516,1,1,965,965,4309.1748046875,4309.1748046875,0,0,0,0,1,1
"46",47,117.761978149414,1104.9189453125,1574.9189453125,409828.875,1800522.5,7336.82666015625,9809.8056640625,11277.4111328125,15303.4111328125,5912,9790,0,1,293.918914794922,303.918914794922,74023.015625,75828.015625,1,1,137,137,147,147
"47",45,129.411056518555,0,0,15292.6005859375,140560.9375,0,0,186.102691650391,200.127670288086,0,1,0,0,0,0,3,3,0,0,0,0,0,0
"48",0,32,0,412.400207519531,0,167077.484375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"49",13,43,0,0,63729.1875,143187.453125,0,0,0,0,0,0,6,6,0,0,20178.01953125,20178.01953125,0,0,0,0,0,0
"50",0,7,40,40,7.17060947418213,2083.36767578125,0,0,0,0,50,57,0,0,0,0,0,0,0,0,0,0,0,0
"51",0,0,63,132,2389.20043945312,18906.17578125,13,73,8.97703266143799,48.9770317077637,475,1098.84838867188,0,0,15,15,98,147,0,0,0,0,35,88
"52",0,1,0,0,1928.43383789062,252781.8125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"53",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"54",206.932235717773,354.618957519531,0,0,36429.6171875,107568.078125,0,0,552,609,558,728.485229492188,0,0,0,0,0,0,0,0,0,0,0,0
"55",0,23,0,0,3371.79833984375,132643.21875,0,0,201,307,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"56",0,4,113,188,26390.263671875,231533.28125,162,2512.17553710938,0,0,1393.15100097656,1849.54248046875,0,0,0,0,0,0,0,0,0,0,0,0
